video_id,channel_title,video_publish_date,video_title,video_view_count,video_comment_count,video_like_count,video_dislike_count
ivLX9o6Ayl8,Real Engineering,2024-02-01 12:00:43+00:00,The Insane Engineering of Re-Entry,2578028,2268,57050,
qtOlzyc4v8Q,Real Engineering,2024-01-26 09:30:11+00:00,Massive Abandoned Towers in Austria,1451645,2035,93229,
hhT4M0UjJcg,Real Engineering,2024-01-22 14:00:36+00:00,The Questionable Engineering of the 737 Max,1794659,4856,65768,
9MxT16L9abY,Real Engineering,2024-01-20 14:00:07+00:00,Fixing the P-47s Climb Rate,780935,506,46222,
sBBDfgwUeqo,Real Engineering,2024-01-18 14:00:46+00:00,How Water Injection Increases Horsepower,545197,686,45121,
3rRwyQaawcs,Real Engineering,2024-01-17 14:01:01+00:00,How the P-47s Turbocharger Worked,191797,138,15264,
ceT5npyXeNs,Real Engineering,2024-01-16 14:00:35+00:00,The Chonkiest WW2 Fighter Plane,3035835,1800,160567,
Q93GstSJApQ,Real Engineering,2024-01-11 14:00:18+00:00,How the SR-71's Engine Worked,3664287,966,257666,
iRupCpvLqTk,Real Engineering,2024-01-06 18:18:25+00:00,The A-10s massive gun halves forward thrust,1274751,1307,88221,
0K1pITq4mSk,Real Engineering,2023-12-28 14:01:22+00:00,How Nebula Works,416817,1147,22654,
INIpzE20d3Y,Real Engineering,2023-12-22 14:00:11+00:00,The Insane Engineering of Orbit,1955310,1315,43341,
G-6xOsXigw8,Real Engineering,2023-12-19 20:42:15+00:00,An Astronaut Chokes on His First Job in Space,235645,147,9567,
UcBc0l7IrZU,Real Engineering,2023-12-16 14:30:11+00:00,The Insane Engineering of the Space Shuttle,1103155,1413,35151,
SU0YDwdUE-s,Real Engineering,2023-11-20 17:02:21+00:00,This Experimental Plane Crashed in 1956 - Bell X-2,111202,71,5268,
EhhOin2p5Qs,Real Engineering,2023-11-04 13:00:13+00:00,The Insane Engineering of the F-16,4067294,3542,86584,
ym1MkJBmPyo,Real Engineering,2023-10-22 11:01:20+00:00,A Ukrainian Tractor Modified to Clear Mines,320837,303,15181,
aWv5Itf2e8Y,Real Engineering,2023-10-21 12:00:03+00:00,The Painful Challenge of Demining Ukraine,685944,1391,27207,
wfrF-2LzK6I,Real Engineering,2023-10-09 10:32:10+00:00,The First Plane To Travel Supersonic,104198,125,6141,
tuEYQvEYR-M,Real Engineering,2023-09-30 12:00:40+00:00,The Incredible Potential of Superconductors,606900,556,24538,
qdJ_gJ_kPEI,Real Engineering,2023-09-09 13:00:41+00:00,NASA's Plan to Build A Telescope on the Moon,1149211,2157,32564,
S4L_0CDsd1I,Real Engineering,2023-08-19 13:00:15+00:00,How Japan's Maglev Train Works,2584160,2191,46630,
83i-t8Ouk_0,Real Engineering,2023-08-05 11:30:03+00:00,How Hypersonic Wind Tunnels Work,918761,1416,37827,
INl3pCXm6Tw,Real Engineering,2023-07-22 12:00:12+00:00,The Uncertain Future of Nuclear Power,1008281,3614,38889,
6LcGrLnzYuU,Real Engineering,2023-07-08 12:00:03+00:00,The Questionable Engineering of Oceangate,4364761,9476,146545,
gF9kkB0UWYQ,Real Engineering,2023-06-30 12:00:23+00:00,Why Germany Hates Nuclear Power,2330766,15526,77373,
Dtocpvv88gQ,Real Engineering,2023-06-03 12:00:07+00:00,The Secret Invention That Changed World War 2,2626124,2204,71781,
cOskHgQxxfI,Real Engineering,2023-05-18 19:46:22+00:00,I hate this,163339,347,8339,
NlYXqRG7lus,Real Engineering,2023-05-07 13:36:33+00:00,The Insane Engineering of MRI Machines,3110629,2578,85891,
NR5pWBy-6Fk,Real Engineering,2023-04-22 13:00:10+00:00,The Insane Engineering of the M1 Abrams,6235698,7267,105246,
RVxgyz_avQM,Real Engineering,2023-04-01 13:00:39+00:00,How NASA Reinvented the Rocket Engine,2131876,2052,66125,
_FFNz2q7F88,Real Engineering,2023-03-11 14:00:32+00:00,Don’t Drop your Tools in Space,2405265,2450,35460,
W4EMf_MTXVc,Real Engineering,2023-02-18 14:30:06+00:00,This Gun Could Reach Space,2500125,1659,39650,
Qb_MWOjD57Y,Real Engineering,2023-02-07 16:35:35+00:00,A Private Jet with a Parachute,3367809,2436,156116,
1lCOgFPtaZ4,Real Engineering,2023-01-28 14:00:02+00:00,The Insane Engineering of the F-35B,7832322,9352,154916,
_bDXXWQxK38,Real Engineering,2022-12-17 14:35:48+00:00,A New Way to Achieve Nuclear Fusion: Helion,7397384,15436,202661,
BzK0ydOF0oU,Real Engineering,2022-12-11 16:00:05+00:00,The Problem with Nuclear Fusion,3946710,7028,107036,
n3ncfcGMo50,Real Engineering,2022-11-19 16:01:28+00:00,How Do Seatbelts Work?,976575,1189,32271,
dLirH3PPrXQ,Real Engineering,2022-10-29 13:52:51+00:00,The Insane Engineering of the DART Mission,597196,1087,27497,
_m6SEKNgxno,Real Engineering,2022-10-08 12:00:27+00:00,The Insane Engineering of the Spitfire,4564833,3044,97741,
73mXXJpEjRI,Real Engineering,2022-09-17 13:00:05+00:00,The Truth about Deep Sea Mining,1907549,2973,40885,
0waPJXaZgEg,Real Engineering,2022-08-28 13:30:47+00:00,The SLS is Outdated. Why Does it Exist?,1029073,4011,39710,
yrc632oilWo,Real Engineering,2022-08-06 11:30:13+00:00,Can We Throw Satellites to Space? - SpinLaunch,4148085,14795,106818,
DCo2PgWSB_U,Real Engineering,2022-08-04 12:28:26+00:00,Testing a Space Catapult Airlock - SpinLaunch #shorts,197567,374,9274,
0k9wIsKKgqo,Real Engineering,2022-07-10 12:00:00+00:00,The Problem with the Next Moon Mission,4437421,14181,96679,
br1p4fcqa4s,Real Engineering,2022-06-16 15:08:27+00:00,Zipline Just Reinvented Autonomous Flight #Shorts,828995,579,42745,
8Oi8ZO-2Kvc,Real Engineering,2022-06-04 13:00:02+00:00,What Actually Happened to the Concorde,1412202,1621,55621,
yRtx56xl-70,Real Engineering,2022-05-20 12:00:23+00:00,Why SpaceX is Using a New Fuel,2174137,3049,67199,
SUdHzKRiBX8,Real Engineering,2022-04-30 13:00:22+00:00,The Insane Engineering of the Javelin,5700273,9895,150774,
wHKJntXF5do,Real Engineering,2022-04-09 13:30:18+00:00,Has Russia’s War Doomed The International Space Station?,1239074,4150,39152,
hnrpXxbVhME,Real Engineering,2022-03-26 15:00:20+00:00,The Insane Engineering of the Concorde,2536274,2240,56282,
pOZhPz92Dic,Real Engineering,2022-02-19 15:00:20+00:00,The Insane Engineering of the Parker Solar Probe,3684486,5511,86343,
aznOL753eiQ,Real Engineering,2022-01-23 15:00:00+00:00,The Truth About Carbon Taxes,615549,4519,32893,
aICaAEXDJQQ,Real Engineering,2021-12-18 17:09:48+00:00,The Insane Engineering of James Webb Telescope,7989439,11054,169555,
F0y8hV2kfJc,Real Engineering,2021-11-27 17:00:03+00:00,Will Boom Bring Supersonic Back?,841488,2111,30494,
GIGlQBx4tys,Real Engineering,2021-11-20 15:00:07+00:00,The Insane Engineering of the Thunderscreech,3831244,2774,90535,
7OpM_zKGE4o,Real Engineering,2021-10-23 13:00:08+00:00,The Problem with Solar Energy in Africa,7497612,15971,145393,
Sf6H8kSunRA,Real Engineering,2021-10-09 13:00:14+00:00,The Insane Engineering of the GEnX,4985759,4243,104418,
lapFQl6RezA,Real Engineering,2021-10-03 13:00:18+00:00,The Insane Engineering of the 787,5939495,4445,122925,
uO4FckCAZtU,Real Engineering,2021-08-28 12:00:31+00:00,This Is Not a Shockwave,610498,923,31652,
59A8-rKRs-0,Real Engineering,2021-08-02 11:00:02+00:00,The Plane That Will Change Travel Forever,4213823,4773,98902,
C_BK7PRugK4,Real Engineering,2021-07-04 12:00:03+00:00,The Uncertain Future of Jet Fuel,1265170,3994,46553,
OpEB6hCpIGM,Real Engineering,2021-06-05 14:00:25+00:00,The Problem with Biofuels,1988112,10024,89963,
SIif11QOsRI,Real Engineering,2021-05-08 15:00:08+00:00,How Carbon Nanotubes Will Change the World,2046954,2585,66467,
MMLgJlJX0Rk,Real Engineering,2021-04-17 13:00:07+00:00,Can Nuclear Propulsion Take Us to Mars?,4551784,4905,96444,
7zR26e504uI,Real Engineering,2021-03-31 13:30:00+00:00,The Insane Engineering of the X-15,7900219,4727,123206,
sJdYAsnvQo8,Real Engineering,2021-02-24 18:14:58+00:00,The Hidden Code in the Mars Landing #shorts,27295703,8399,1290487,
JSgd-QhLHRI,Real Engineering,2021-02-20 15:30:01+00:00,The Truth About Pumped Hydro,1115140,5526,43354,
yqqaW8DCc-I,Real Engineering,2021-02-18 14:05:03+00:00,The Insane Engineering of the Perseverance Rover,5237976,7175,135070,
SpiMXHgItHg,Real Engineering,2021-01-23 15:00:16+00:00,NASA's Weirdest Experimental Plane,989860,1198,34865,
